Address:,TCPIP0::192.168.254.118::hislip0::INSTR,,Analog Channels,,
Model:,DSOS604A,,Time (s),3 (VOLT),
,,,-4.96508090563E-07,1.75317290995736E-06,
,,,-4.96458090563E-07,-0.000388251676668006,
,,,-4.96408090563E-07,-0.000683390481754032,
,,,-4.96358090563E-07,-0.000757175183025538,
,,,-4.96308090563E-07,-0.000989069958450273,
,,,-4.96258090563E-07,-0.00116299104001882,
,,,-4.96208090563E-07,-0.000783526862051076,
,,,-4.96158090563E-07,-0.000330277982811822,
,,,-4.96108090563E-07,-0.000277574624760746,
,,,-4.96058090563E-07,-0.000330277982811822,
,,,-4.96008090563E-07,-0.000288115296370961,
,,,-4.95958090563E-07,-0.000256493281540315,
,,,-4.95908090563E-07,-0.000309196639591391,
,,,-4.95858090563E-07,-0.000662309138533601,
,,,-4.95808090563E-07,-0.00119461305484947,
,,,-4.95758090563E-07,-0.00133691212158737,
,,,-4.95708090563E-07,-0.00119461305484947,
,,,-4.95658090563E-07,-0.00127893842773119,
,,,-4.95608090563E-07,-0.00131056044256184,
,,,-4.95558090563E-07,-0.00086258189912769,
,,,-4.95508090563E-07,-0.000398792348278221,
,,,-4.95458090563E-07,-0.000404062684083328,
,,,-4.95408090563E-07,-0.000551632086626341,
,,,-4.95358090563E-07,-0.000477847385354835,
,,,-4.95308090563E-07,-0.000298655967981176,
,,,-4.95258090563E-07,-0.000393522012473113,
,,,-4.95208090563E-07,-0.000741364175610215,
,,,-4.95158090563E-07,-0.000867852234932798,
,,,-4.95108090563E-07,-0.000736093839805108,
,,,-4.95058090563E-07,-0.000931096264594089,
,,,-4.95008090563E-07,-0.00148448152413039,
,,,-4.94958090563E-07,-0.00158988824023254,
,,,-4.94908090563E-07,-0.00102069197328092,
,,,-4.94858090563E-07,-0.000657038802728493,
,,,-4.94808090563E-07,-0.000899474249763443,
,,,-4.94758090563E-07,-0.00106285465972178,
,,,-4.94708090563E-07,-0.00075190484722043,
,,,-4.94658090563E-07,-0.000583254101456987,
,,,-4.94608090563E-07,-0.000846770891712367,
,,,-4.94558090563E-07,-0.00111028768196775,
,,,-4.94508090563E-07,-0.00127893842773119,
,,,-4.94458090563E-07,-0.00136853413641802,
,,,-4.94408090563E-07,-0.00114190969679839,
,,,-4.94358090563E-07,-0.000910014921373659,
,,,-4.94308090563E-07,-0.00106812499552689,
,,,-4.94258090563E-07,-0.00106812499552689,
,,,-4.94208090563E-07,-0.000667579474338709,
,,,-4.94158090563E-07,-0.000514739735990588,
,,,-4.94108090563E-07,-0.000525280407600803,
,,,-4.94058090563E-07,-0.000256493281540315,
,,,-4.94008090563E-07,-0.000267033953150531,
,,,-4.93958090563E-07,-0.000746634511415323,
,,,-4.93908090563E-07,-0.0010101513016707,
,,,-4.93858090563E-07,-0.000931096264594089,
,,,-4.93808090563E-07,-0.000830959884297044,
,,,-4.93758090563E-07,-0.000683390481754032,
,,,-4.93708090563E-07,-0.000625416787897848,
,,,-4.93658090563E-07,-0.000725553168194892,
,,,-4.93608090563E-07,-0.000699201489169354,
,,,-4.93558090563E-07,-0.000583254101456987,
,,,-4.93508090563E-07,-0.000688660817559139,
